player_id,player_name,team,first_half_minutes,previous_matches_available,previous_reliable_pass_attempts_per90,previous_reliable_progressive_passes_per90,previous_reliable_carries_per90,previous_reliable_shots_per90,previous_reliable_miscontrols_per90,previous_reliable_shot_assists_per90,last_3_reliable_pass_attempts_per90,last_3_reliable_progressive_passes_per90,last_3_reliable_carries_per90,last_3_reliable_shots_per90,last_3_reliable_miscontrols_per90,last_3_reliable_shot_assists_per90,first_half_actions_per90,first_half_pass_attempts_per90,first_half_completed_passes_per90,first_half_progressive_passes_per90,first_half_pass_completion_rate,first_half_shots_per90,first_half_statsbomb_xg_per90,first_half_carries_per90,first_half_miscontrols_per90,first_half_interceptions_per90,first_half_ball_recoveries_per90,first_half_dribbles_per90,first_half_duels_per90,first_half_pressures_per90,first_half_shot_assists_per90,first_half_mean_xpass,first_half_completions_above_expected,first_half_completion_rate_above_expected,actions_trajectory,progressive_passes_trajectory,carries_trajectory,miscontrols_trajectory,pressures_trajectory,pass_completion_trajectory
22390,Francisco António Machado Mota de Castro Trincão,Barcelona,45.95,17.0,28.72340425531915,0.0,32.82674772036474,0.0,8.206686930091186,0.0,34.776141023034434,1.1314373885771518,35.17229560749504,2.0998735435269364,2.7355623100303954,0.32281205164992827,219.36887921653968,58.75952121871599,54.84221980413492,5.875952121871599,0.9333333333333333,3.9173014145810656,1.12506765179543,58.75952121871599,0.0,1.9586507072905328,3.9173014145810656,9.793253536452665,1.9586507072905328,11.751904243743198,0.0,0.91197723,0.6406822,0.021356106,-68.07836990595618,-0.35736677115987536,-29.50156739811913,0.0,25.213166144200624,-0.09937888198757772
5691,Johan Andrés Mojica Palacio,Elche,45.4,7.0,43.092269326683294,11.44638403990025,34.33915211970075,0.6733167082294265,1.346633416458853,1.346633416458853,40.33717418031458,11.178122926130312,31.912795866703494,0.22443890274314215,1.9887248149207506,0.4488778054862843,148.6784140969163,35.68281938325991,29.73568281938326,7.929515418502203,0.8333333333333334,0.0,0.0,33.70044052863436,0.0,3.9647577092511015,5.947136563876652,3.9647577092511015,3.9647577092511015,25.770925110132158,1.9823788546255507,0.74766845,1.2896366,0.07586098,49.16883116883119,-3.1558441558441555,2.0649350649350637,0.0,22.909090909090914,0.0
5503,Lionel Andrés Messi Cuccittini,Barcelona,45.95,512.0,89.50786056049215,22.146274777853723,87.66233766233766,7.3820915926179085,1.8455228981544771,1.8455228981544771,72.6452401432348,17.239025622557538,70.90500928648244,6.337632232943247,0.6151742993848257,2.8780490765391296,199.78237214363438,60.71817192600653,50.92491838955386,21.545157780195865,0.8387096774193549,0.0,0.0,54.84221980413492,0.0,0.0,0.0,5.875952121871599,0.0,1.9586507072905328,1.9586507072905328,0.78452057,1.679863,0.054189086,-141.78996865203766,-15.71473354231975,-49.4294670846395,0.0,5.642633228840125,-0.21333333333333337
24165,Edgar Badía Guardiola,Elche,45.95,0.0,,,,,,,,,,,,,119.47769314472252,48.96626768226333,37.21436343852013,17.6278563656148,0.76,0.0,0.0,27.42110990206746,0.0,0.0,1.9586507072905328,0.0,0.0,0.0,0.0,0.75198543,0.20830631,0.009919345,7.137931034482733,24.855799373040746,-7.4294670846395015,0.0,0.0,-0.10000000000000009
6663,Antonio Barragán Fernández,Elche,45.95,29.0,51.207729468599034,4.8309178743961345,31.88405797101449,0.0,0.966183574879227,0.0,59.60342452479255,9.615067444730608,37.78995865374595,0.0,0.9593421263051131,0.9559214020180563,92.05658324265505,27.42110990206746,25.46245919477693,0.0,0.9285714285714286,0.0,0.0,11.751904243743198,0.0,3.9173014145810656,0.0,0.0,3.9173014145810656,9.793253536452665,0.0,0.9289139,-0.14696693,-0.012247205,5.92476489028212,0.0,16.5705329153605,0.0,-15.0,0.125
4447,Martin Braithwaite Christensen,Barcelona,45.95,70.0,17.45689655172414,0.0,23.27586206896552,2.90948275862069,0.0,2.90948275862069,22.073320917938243,1.2244897959183672,25.237465886270403,3.7771944353855926,0.6122448979591836,0.9698275862068967,103.80848748639826,21.545157780195865,13.71055495103373,3.9173014145810656,0.6363636363636364,0.0,0.0,25.46245919477693,1.9586507072905328,3.9173014145810656,1.9586507072905328,0.0,0.0,7.834602829162131,0.0,0.8201716,-2.0218878,-0.18380797,-107.14420062695925,-6.0,-30.357366771159874,-3.0,-3.3573667711598754,
30486,Pedro González López,Barcelona,45.95,21.0,80.95238095238096,5.952380952380953,80.95238095238096,0.0,1.1904761904761905,1.1904761904761905,87.50810811609493,7.037005726815431,75.18423602813023,0.0,2.1225322356321437,0.3968253968253968,195.86507072905331,58.75952121871599,50.92491838955386,3.9173014145810656,0.8666666666666667,0.0,0.0,54.84221980413492,0.0,0.0,1.9586507072905328,1.9586507072905328,0.0,11.751904243743198,0.0,0.8897663,-0.69298744,-0.023099601,-49.3636363636364,2.6426332288401246,-23.50156739811912,0.0,25.213166144200624,-0.12698412698412698
5211,Jordi Alba Ramos,Barcelona,45.95,234.0,84.89405331510595,10.150375939849624,69.2071086807929,0.9227614490772386,0.9227614490772386,0.9227614490772386,72.21969664352645,10.605327194847005,54.673543895028025,0.6267926825883164,0.6148068117507846,1.229246135867528,256.58324265505985,88.13928182807399,82.2633297062024,7.834602829162131,0.9333333333333333,0.0,0.0,66.59412404787813,3.9173014145810656,3.9173014145810656,3.9173014145810656,0.0,0.0,9.793253536452665,0.0,0.9186946,0.4961319,0.011537969,-55.93730407523515,-12.0,-15.573667711598752,11.28526645768025,19.5705329153605,0.08571428571428574
43728,Óscar Mingueza García,Barcelona,45.95,12.0,94.3927355278093,2.4517593643586832,77.23041997729852,0.0,1.2258796821793416,1.2258796821793416,69.07372861486802,5.521435019028725,53.92062122787103,0.6144393241167435,0.715846222784819,0.4086265607264472,266.3764961915125,82.2633297062024,80.30467899891185,9.793253536452665,0.9761904761904762,0.0,0.0,72.47007616974972,0.0,0.0,0.0,3.9173014145810656,3.9173014145810656,11.751904243743198,0.0,0.89272624,3.505497,0.083464205,-62.29467084639501,2.2852664576802493,-7.288401253918508,0.0,-9.357366771159874,0.033333333333333326
15880,Emiliano Ariel Rigoni,Elche,45.95,0.0,,,,,,,,,,,,,101.84983677910772,35.2557127312296,23.503808487486396,5.875952121871599,0.6666666666666666,0.0,0.0,21.545157780195865,0.0,0.0,1.9586507072905328,0.0,0.0,11.751904243743198,1.9586507072905328,0.74616766,-1.6848507,-0.099108815,-9.07523510971788,-9.0,-7.072100313479627,0.0,7.927899686520373,0.1071428571428571
18783,Omenuke Mfulu,Elche,45.95,13.0,27.91728212703102,3.988183161004431,27.91728212703102,0.0,3.988183161004431,0.0,42.71125850134761,10.6494342673604,33.54397463864999,1.906779661016949,3.2361740480184262,0.0,156.69205658324265,39.17301414581066,31.338411316648525,1.9586507072905328,0.8,0.0,0.0,31.338411316648525,0.0,3.9173014145810656,1.9586507072905328,0.0,3.9173014145810656,37.21436343852013,0.0,0.9048365,-2.1918926,-0.11536276,19.278996865203737,5.642633228840125,21.141065830720997,0.0,-22.4294670846395,0.16161616161616155
7897,Miguel Ángel Garrido Cifuentes,Elche,45.95,0.0,,,,,,,,,,,,,109.68443960826984,25.46245919477693,15.669205658324262,5.875952121871599,0.6153846153846154,0.0,0.0,19.58650707290533,0.0,3.9173014145810656,0.0,0.0,0.0,27.42110990206746,0.0,0.69660306,-1.0558395,-0.08121842,82.6363636363636,16.927899686520373,21.855799373040746,0.0,-7.4294670846395015,-0.19444444444444442
